driver_id,day_of_week,Hour,Minute,total_assigned_request,avg_rating,completed_rides,ACR,status,ride_duration_hour,total_distance_covered_km
5254892,1,11,54,21,4.555555556,15,0.71,COMPLETED,3.921111111,55.501
5255185,2,19,29,8,5,2,0.25,COMPLETED,0.646666667,11.568
5255321,2,8,46,32,4.666666667,25,0.78,COMPLETED,6.629166667,125.378
5255324,1,10,1,34,4.666666667,20,0.59,COMPLETED,3.551388889,78.611
5255328,1,10,3,50,3.947368421,43,0.86,COMPLETED,6.764166667,135.455
5255389,2,19,15,44,4.25,37,0.84,COMPLETED,8.861388889,189.429
5255426,3,17,8,40,4.545454545,17,0.43,COMPLETED,4.276388889,70.222
5255479,6,7,17,169,4.385964912,121,0.72,COMPLETED,33.88888889,620.066
5255562,3,9,57,53,4.571428571,40,0.75,COMPLETED,14.94361111,248.762
5255600,6,7,35,25,4.454545455,19,0.76,COMPLETED,6.033888889,101.098
5255679,1,15,16,20,,0,0,CANCELED,,
5255916,1,11,38,19,4.333333333,11,0.58,COMPLETED,2.653611111,49.321
5255932,5,17,39,57,4.052631579,39,0.68,COMPLETED,12.48055556,196.692
5255956,4,17,55,29,4.444444444,16,0.55,COMPLETED,4.678055556,70.2
5256215,7,9,37,19,4.111111111,14,0.74,COMPLETED,4.419166667,86.502
5256251,1,15,59,14,5,7,0.5,COMPLETED,2.218055556,24.924
5256255,1,12,51,30,4.5,19,0.63,COMPLETED,7.088888889,106.932
5256348,3,12,46,2,5,1,0.5,CANCELED,0.171666667,2.988
5256384,4,15,14,62,4.038461538,51,0.82,COMPLETED,15.55527778,215.672
5256496,3,19,35,24,4.333333333,9,0.38,COMPLETED,0.080277778,31.3
5256637,2,11,47,59,3.625,31,0.53,COMPLETED,3.947222222,72.514
5256793,5,11,27,39,4.428571429,17,0.44,COMPLETED,3.821666667,80.446
5256940,3,11,59,48,4.538461538,33,0.69,COMPLETED,9.116944444,145.481
5256960,4,20,14,9,,0,0,CANCELED,,
5257385,2,16,52,39,3.5,28,0.72,COMPLETED,4.979166667,86.633
5257432,4,10,36,58,4,22,0.38,COMPLETED,6.312777778,106.394
5257598,1,14,45,87,4.5,44,0.51,COMPLETED,8.921666667,149.16
5257861,3,18,31,36,4.166666667,29,0.81,COMPLETED,7.085833333,111.523
5257974,2,12,33,11,3.5,3,0.27,COMPLETED,0.847777778,11.334
5258211,1,10,45,52,4,6,0.12,COMPLETED,1.389722222,30.18
5258650,5,10,53,27,3.75,6,0.22,COMPLETED,1.812777778,23.674
5261768,1,19,24,85,4.484848485,67,0.79,COMPLETED,21.45444444,376.469
5262415,3,5,26,89,4.24137931,57,0.64,COMPLETED,20.26972222,356.375
5262474,5,9,15,93,4.1,57,0.61,COMPLETED,18.88527778,290.52
5262720,3,12,36,8,3,3,0.38,COMPLETED,0.973055556,17.798
5263080,1,22,10,12,2.5,9,0.75,COMPLETED,4.257222222,27.612
5264033,5,15,39,67,3.896551724,58,0.87,COMPLETED,14.67194444,251.981
5264040,2,11,30,47,4.5,23,0.49,COMPLETED,6.6725,113.927
5264240,3,18,58,56,4.666666667,41,0.73,COMPLETED,9.098055556,179.937
5264376,2,12,2,136,4,92,0.68,COMPLETED,18.29472222,357.415
5264442,6,17,45,8,5,4,0.5,COMPLETED,0.896111111,20.262
5264526,2,21,47,56,4.375,41,0.73,COMPLETED,11.29527778,194.035
5264597,3,13,22,92,4.333333333,39,0.42,COMPLETED,1.770277778,93.539
5264739,3,8,6,51,4,27,0.53,COMPLETED,4.505555556,97.563
5265055,4,12,49,1,,0,0,CANCELED,,
5265138,2,20,0,90,4.322580645,69,0.77,COMPLETED,17.82555556,318.04
5265446,2,10,24,26,3.5,10,0.38,COMPLETED,3.037222222,58.515
5265447,3,8,0,32,3.5,15,0.47,COMPLETED,3.573611111,56.139
5265493,1,16,33,32,4.588235294,29,0.91,COMPLETED,7.948611111,117.791
5265495,2,5,48,52,4.1875,26,0.5,COMPLETED,7.024444444,152.072
5265927,4,19,57,5,4.5,4,0.8,COMPLETED,0.990277778,17.519
5265992,2,18,39,5,4,2,0.4,COMPLETED,0.165833333,3.969
5266018,3,19,41,14,5,8,0.57,COMPLETED,0.779444444,18.434
5266108,7,14,21,23,4.25,19,0.83,COMPLETED,4.893055556,76.245
5266172,1,17,36,11,3,8,0.73,COMPLETED,1.995277778,27.249
5266272,2,10,52,49,4.368421053,36,0.73,COMPLETED,9.748888889,152.235
5266354,5,8,28,35,4.5,17,0.49,COMPLETED,3.669166667,66.43
5270397,7,17,9,85,4.208333333,44,0.52,COMPLETED,11.97416667,207.375
5270410,3,19,24,14,4,6,0.43,COMPLETED,2.039444444,41.517
5270676,7,17,59,59,4,45,0.76,COMPLETED,11.99138889,219.566
5270734,1,15,3,14,4.3,13,0.93,COMPLETED,2.99,49.923
5270894,3,11,3,61,4.75,20,0.33,COMPLETED,3.261944444,91.934
5271207,1,10,35,4,,1,0.25,COMPLETED,0.284444444,4.821
5271509,2,19,10,11,4.5,4,0.36,COMPLETED,1.614722222,23.056
