,driver_id,day_of_week,total_days,Hour,Minute,passenger_id,total_requests,total_assigned,avg_rating,completed_rides,ACR,status,ride_duration_hour,total_distance_covered_km,avg_fare
152,5083506,2,7,6,22,5170652,43,224,4.875,19,0.084821429,COMPLETED,4.289722222,92.468,110
153,5083156,2,7,11,36,4673622,67,265,3.933333333,36,0.135849057,COMPLETED,7.500277778,128.247,88.5
154,5082585,1,7,15,51,3528698,85,154,4.533333333,52,0.337662338,COMPLETED,15.18138889,246.873,105.1923077
155,5080101,2,7,22,37,4861095,40,213,4.5,20,0.093896714,COMPLETED,5.813888889,122.519,128
156,5076437,7,7,18,22,4692966,30,86,4.363636364,21,0.244186047,COMPLETED,5.2775,95.017,100.4761905
157,5074922,4,7,9,13,4424034,73,143,3.722222222,42,0.293706294,COMPLETED,11.175,183.299,98.95238095
158,5074296,6,7,14,37,3645289,96,165,4.266666667,61,0.36969697,COMPLETED,16.605,232.336,89.91803279
159,5071387,6,7,6,50,3837935,89,417,4.176470588,69,0.165467626,COMPLETED,14.98305556,252.551,88.07246377
160,5068200,7,7,19,49,4547630,70,201,4.235294118,31,0.154228856,COMPLETED,6.083333333,101.985,85.87096774
161,5067585,2,7,17,43,3601053,128,213,4.333333333,88,0.41314554,COMPLETED,21.5875,426.571,108.6363636
162,5066010,3,7,10,45,5390372,139,171,4.338983051,112,0.65497076,COMPLETED,33.71416667,546.282,107.7857143
163,5058733,6,7,7,46,3933369,72,183,4.34375,55,0.300546448,COMPLETED,11.13416667,235.557,96.69090909
164,5053389,5,7,16,16,3709890,132,148,4.125,107,0.722972973,COMPLETED,28.59833333,534.626,120.4205607
165,5053111,3,7,11,6,5366565,86,181,3.633333333,53,0.29281768,COMPLETED,21.60222222,327.145,127.5660377
166,5052985,1,7,7,39,3908966,77,138,4.535714286,45,0.326086957,COMPLETED,14.67888889,223.295,108
167,5052981,2,7,11,18,3764320,118,193,4.238095238,97,0.502590674,COMPLETED,25.5225,448.255,103.185567
168,5051181,6,7,0,24,5428208,86,155,4.34375,66,0.425806452,COMPLETED,14.99472222,360.992,159.5454545
169,5049683,6,7,19,32,3906008,57,134,4.24137931,49,0.365671642,COMPLETED,11.49111111,274.959,124.8163265
170,5036894,3,7,20,7,4701953,35,69,3.75,29,0.420289855,COMPLETED,5.789166667,124.513,97.68965517
171,5033182,1,7,19,46,4391568,45,108,4.636363636,26,0.240740741,COMPLETED,5.258611111,132.13,122.0769231
172,5032504,7,7,16,21,3661085,80,166,3.695652174,43,0.259036145,COMPLETED,0.028055556,189.243,101.5348837
173,5020759,4,7,21,11,4460810,50,78,4.777777778,41,0.525641026,COMPLETED,8.192777778,187.86,113.1219512
174,5019177,2,7,6,15,4193790,52,217,4.625,27,0.124423963,COMPLETED,6.826666667,141.635,111.8518519
175,5017599,6,7,8,50,4933178,149,188,4.26,110,0.585106383,COMPLETED,26.04944444,470.434,100.4
176,5017499,3,7,7,23,4828571,56,203,4.538461538,43,0.21182266,COMPLETED,20.76583333,186.683,99.88372093
177,5016041,2,7,18,1,4322171,87,126,4.652173913,54,0.428571429,COMPLETED,12.17916667,210.574,90.42592593
178,5012278,3,7,11,53,5409135,76,171,4.272727273,49,0.286549708,COMPLETED,16.15611111,244.822,108.6122449
179,5012205,2,7,15,49,3253320,54,178,4.473684211,32,0.179775281,COMPLETED,9.685833333,146,100.25
180,5011402,5,7,7,37,4759851,38,147,4.4,16,0.108843537,COMPLETED,3.652777778,69.866,99.9375
181,5011029,5,7,9,39,4950226,94,189,4.125,70,0.37037037,COMPLETED,15.93111111,298.815,98.18571429
182,5004204,2,7,20,58,4898813,51,64,4.6,26,0.40625,COMPLETED,5.934444444,128.92,127.0384615
183,4984455,2,7,22,38,4851225,90,147,4.36,62,0.421768707,COMPLETED,16.72194444,327.88,112.983871
184,4980869,1,7,19,19,4468949,79,247,4.533333333,56,0.226720648,COMPLETED,18.10222222,321.418,120.1071429
185,4980010,1,7,17,4,4620917,62,101,4.3125,32,0.316831683,COMPLETED,4.013611111,89.762,77.8125
186,4971773,3,7,15,57,4852044,107,229,4.264705882,71,0.310043668,COMPLETED,16.82222222,286.878,97.77464789
187,4970994,6,7,12,33,4046508,88,236,4.314285714,70,0.296610169,COMPLETED,14.79777778,256.987,90.27142857
188,4970854,7,7,13,34,3243210,65,97,4.285714286,42,0.432989691,COMPLETED,8.836944444,164.06,90.38095238
189,4970770,1,7,20,15,4870059,70,202,4.076923077,41,0.202970297,COMPLETED,21.41805556,223.691,117.5609756
190,4965310,1,7,11,2,3958977,88,196,4.583333333,54,0.275510204,COMPLETED,12.91777778,245.286,106.3148148
191,4964811,1,7,13,58,4768847,47,93,4.5,34,0.365591398,COMPLETED,8.022777778,148.881,100.1764706
192,4950821,2,7,15,0,5402404,101,139,4.166666667,65,0.467625899,COMPLETED,19.80888889,338.404,110.4769231
193,4934638,2,7,19,55,5339181,63,125,4.35,48,0.384,COMPLETED,11.60388889,214.638,100.2291667
194,4933357,6,7,14,45,3043003,31,59,4.466666667,28,0.474576271,COMPLETED,6.935277778,145.734,110.6785714
195,4933336,1,7,13,55,5161726,65,116,4.263157895,55,0.474137931,COMPLETED,14.9525,271.328,109.9454545
196,4922405,2,7,21,42,5292571,93,228,4.4,43,0.188596491,COMPLETED,11.57861111,241.873,137.744186
197,4921056,2,7,12,37,4514169,81,379,4.1,46,0.121372032,COMPLETED,14.63638889,272.332,125.326087
198,4919968,4,7,17,21,3491138,107,261,4.451612903,85,0.325670498,COMPLETED,25.15694444,389.346,109.4470588
199,4917065,4,7,8,28,4617856,81,181,4.208333333,47,0.259668508,COMPLETED,11.00611111,207.335,99.82978723
200,4911391,6,7,12,2,4906638,91,343,4.5,72,0.209912536,COMPLETED,20.23555556,277.534,91.58333333
201,4894765,4,7,9,31,4697722,129,352,4.135135135,75,0.213068182,COMPLETED,19.19361111,376.017,108.68
202,4888253,2,7,17,54,4535594,116,290,4.1,69,0.237931034,COMPLETED,17.53194444,325.511,105.7681159
203,4887973,4,7,13,41,5018600,16,329,5,3,0.009118541,COMPLETED,1.227222222,18.678,130.3333333
204,4881593,1,7,6,12,4624129,92,136,4.242424242,64,0.470588235,COMPLETED,20.24222222,322.874,106.390625
205,4879521,7,7,20,34,3234520,79,146,4.1,52,0.356164384,COMPLETED,9.2225,190.248,89.19230769
206,4868071,1,7,10,49,5203749,70,179,4.4,31,0.173184358,COMPLETED,8.484722222,181.503,123.5483871
207,4858452,7,7,21,51,5045776,36,56,4.266666667,26,0.464285714,COMPLETED,4.738333333,136.9,128.0384615
208,4853197,1,7,19,19,5373192,17,295,4,6,0.020338983,COMPLETED,3.308611111,49.3,159.1666667
209,4851117,3,7,19,20,3686268,84,160,4.36,55,0.34375,COMPLETED,4.624722222,109.753,63.85454545
210,4846036,3,7,17,40,4827975,88,153,4.15625,67,0.437908497,COMPLETED,15.48222222,279.016,97.56716418
211,4845880,4,7,20,20,4138133,53,80,3.375,26,0.325,COMPLETED,4.706666667,98.57,91.53846154
212,4843473,4,7,18,43,5165194,46,117,4,3,0.025641026,COMPLETED,0.721944444,12.194,96.33333333
213,4840058,3,7,11,52,4295589,58,141,4.608695652,46,0.326241135,COMPLETED,13.6675,240.012,112.2391304
214,4833154,3,7,23,7,5076732,68,126,4.210526316,41,0.325396825,COMPLETED,8.495833333,196.448,138.6829268
215,4810452,7,7,17,40,4257870,69,118,4.333333333,55,0.466101695,COMPLETED,14.14277778,267.592,108.2181818
216,4805437,7,7,3,23,3276578,44,140,4.142857143,14,0.1,COMPLETED,2.512222222,58.327,128.8571429
217,4791202,2,7,10,2,5402174,93,164,4.4,60,0.365853659,COMPLETED,21.41472222,313.34,111.8166667
218,4780254,4,7,16,15,4304917,60,86,4.454545455,46,0.534883721,COMPLETED,11.56416667,179.475,91.41304348
219,4776928,5,7,6,39,5313234,67,104,4.173913043,39,0.375,COMPLETED,11.20638889,206.278,114.2820513
220,4759874,4,7,13,1,4892205,82,193,4.473684211,54,0.279792746,COMPLETED,14.3775,260.838,107.5925926
221,4751686,7,7,16,53,4555930,100,200,4.517241379,63,0.315,COMPLETED,16.35,274.609,98.01587302
222,4737163,7,7,17,31,5399144,53,105,4.416666667,15,0.142857143,COMPLETED,2.531944444,52.575,82.86666667
223,4736049,3,7,12,19,5331472,35,143,4.777777778,20,0.13986014,COMPLETED,5.744166667,112.606,120.45
224,4735867,2,7,10,21,4813295,79,259,4.153846154,46,0.177606178,COMPLETED,13.91194444,300.406,138.4130435
225,4735855,1,7,18,58,3043821,73,244,4.25,57,0.233606557,COMPLETED,16.05305556,345.171,127.877193
226,4728671,7,7,22,27,3262669,47,111,4.136363636,41,0.369369369,COMPLETED,9.526111111,213.316,121.6097561
227,4705535,7,7,9,27,5364861,71,610,4.066666667,29,0.047540984,COMPLETED,6.674722222,106.686,89.10344828
228,4698655,7,7,19,31,5092840,65,123,4.25,31,0.25203252,COMPLETED,7.994444444,159.147,126.0967742
229,4693119,1,7,16,26,4073460,75,123,4.517241379,50,0.406504065,COMPLETED,11.135,182.356,87.74
230,4679813,4,7,20,31,3715729,37,168,4.307563701,1,0.005952381,CANCELED,0.141388889,4.009,99
