,driver_id,day_of_week,Hour,Minute,passenger_id,total_assigned_request,avg_rating,completed_rides,total_canceled_ride,ACR,status,ride_duration_hour,total_distance_covered_km,undiscounted_fare
81,3119763,1,10,33,4123674,22,3.555555556,21,1,0.95,COMPLETED,7.583611111,135.732,148
82,3120350,2,15,13,3054033,9,4,6,3,0.67,COMPLETED,2.81,52.252,241
83,3132746,1,15,16,4398515,12,2.5,3,9,0.25,COMPLETED,1.168611111,15.487,109
84,3132920,3,16,58,4879214,43,4.454545455,34,9,0.79,COMPLETED,10.26111111,178.977,62
85,3143007,5,6,43,3979189,110,4.333333333,93,17,0.85,COMPLETED,24.63333333,482.906,135
86,3145120,1,13,43,3773814,28,5,6,22,0.21,COMPLETED,1.144722222,20.504,105
87,3153368,3,9,49,5100476,24,4.214285714,21,3,0.88,COMPLETED,4.420555556,82.773,63
88,3174762,7,14,1,5413805,7,4,2,5,0.29,COMPLETED,0.365,5.875,63
89,3177171,2,19,31,3242218,1,,0,1,0,CANCELED,,,
90,3189411,2,8,0,4894837,35,,2,33,0.06,COMPLETED,0.223055556,2.623,63
91,3195850,7,20,44,5016162,26,4.333333333,20,6,0.77,COMPLETED,4.228888889,99.895,145
92,3196540,2,10,52,4191915,4,5,2,2,0.5,COMPLETED,0.397777778,9.815,109
93,3201165,1,9,50,5219924,6,5,5,1,0.83,COMPLETED,1.5475,28.292,137
94,3207543,3,14,44,5063514,9,4.75,7,2,0.78,COMPLETED,1.996388889,38.424,111
95,3212558,2,18,42,5366712,4,,1,3,0.25,COMPLETED,0.000555556,6.38,126
96,3218143,4,9,39,3906220,25,5,7,18,0.28,COMPLETED,1.424166667,30.318,103
97,3226970,1,9,19,3354199,45,4.214285714,28,17,0.62,COMPLETED,5.592222222,113.372,63
98,3227153,2,19,52,5100651,12,4.2,6,6,0.5,COMPLETED,2.031388889,40.367,131
99,3231684,5,19,19,4876178,14,4,3,11,0.21,COMPLETED,2.174166667,12.574,117
100,3243390,5,9,38,5137831,110,4.315789474,38,72,0.35,COMPLETED,8.759444444,140.077,120
101,3243415,1,9,31,4484351,53,4.333333333,24,29,0.45,COMPLETED,3.978333333,71.163,108
102,3252143,5,17,59,4725370,15,5,3,12,0.2,COMPLETED,0.671388889,7.817,48
103,3299607,1,13,50,3289170,11,5,2,9,0.18,COMPLETED,0.982222222,17.292,87
104,3321615,4,9,45,5180625,81,4.041666667,38,43,0.47,COMPLETED,4.346388889,135.287,175
105,3343921,2,10,13,4582319,48,4,28,20,0.58,COMPLETED,9.480555556,160.531,244
106,3344762,2,10,20,5318103,10,,0,10,0,CANCELED,,,
107,3345345,3,16,23,5403831,2,,0,2,0,CANCELED,,,
108,3346396,1,11,54,4197346,13,3.8,10,3,0.77,COMPLETED,2.871111111,48.488,55
109,3349614,3,10,49,5358327,3,,1,2,0.33,COMPLETED,0.000555556,5.878,118
110,3353278,2,9,1,5043433,6,5,2,4,0.33,COMPLETED,0.576666667,13.16,137
111,3355215,3,13,19,3113303,37,4.214285714,25,12,0.68,COMPLETED,6.650277778,148.029,164
112,3355609,5,15,19,5423840,9,5,8,1,0.89,COMPLETED,2.213333333,47.997,171
113,3358770,5,13,42,3168628,19,4.4,15,4,0.79,COMPLETED,3.745833333,62.26,51
114,3358941,1,12,27,4835435,52,4.5,28,24,0.54,COMPLETED,8.485,134.244,111
