,ride_id,driver_id,total_assigned
362,79824H,3849877,33
363,78J0M8,3850962,114
364,78DSJM,3853534,1
365,78ATLJ,3854963,260
366,78GH6E,3864586,220
367,78PG7J,3865589,289
368,79BCIQ,3867133,12
369,7927R0,3867244,1
370,78BMJA,3868092,106
371,78COC3,3868681,1
372,790DA9,3868775,16
373,78BJEC,3870107,39
374,78RLLO,3875915,7
375,78PPB0,3876169,3
376,78BD9Q,3876324,108
377,78A9A2,3876597,24
378,78JDMA,3876668,419
379,78G6GO,3876827,127
380,78KKC0,3878003,104
381,78IMBS,3879271,2
382,78DPMC,3883737,20
383,798RD2,3884100,19
384,78LRB9,3886324,144
385,78E1LF,3886345,1
386,78FOLH,3886542,2
387,78AA1Q,3887018,85
388,78R9AP,3891107,17
389,78FQ3T,3891358,36
390,795S7L,3892407,4
391,7995MR,3893740,52
392,78R36K,3894433,130
393,78DTDG,3896386,1
394,78QNSD,3896537,3
395,78IN8O,3896826,206
396,78GLMS,3899079,18
397,7934QM,3899789,15
398,797DDR,3903211,41
399,78CQEK,3904462,19
400,7907J3,3905537,12
401,78QM3N,3906430,75
402,798GGJ,3907489,12
403,78FOFP,3907678,20
404,796QBF,3910561,11
405,79ARA0,3914202,15
406,790RFM,3916755,57
407,78KDTG,3917460,15
408,78C52I,3918085,4
409,78G9E3,3918236,4
410,792RAO,3918252,72
411,78FSBG,3918668,66
412,793QP0,3919989,16
413,78N1B3,3920495,186
414,78J6DG,3934861,1
415,78DQM0,3936119,378
416,78G894,3936414,31
417,798FMS,3936555,4
418,78HOGF,3936971,211
419,78A724,3938060,10
420,78GF6T,3941874,70
421,78DNJR,3942803,7
422,78Q64E,3942899,1
423,798NCE,3943399,88
424,78R8R6,3944425,24
425,79533N,3944494,4
426,792QQ0,3944836,55
427,78RJSG,3945720,20
428,78CT5D,3945768,47
429,78FFD4,3946079,142
430,78DO9K,3946994,67
431,7978PC,3951792,147
432,78N7JD,3952989,79
433,78CL0P,3954133,148
434,78PK4M,3954723,20
435,78O5DK,3956036,14
436,78GS94,3959435,1
437,78A9A2,3960151,8
438,78IG2F,3960338,11
439,78A8EI,3961063,53
440,78E97B,3961795,9
441,78SIE6,3962188,4
442,78F8BH,3967187,33
443,79BDL5,3968305,17
444,78G5FK,3969197,2
445,78P23O,3969754,77
446,78OIDC,3969990,3
447,78M1LK,3970204,60
448,796B2P,3970462,17
449,78RMAM,3973221,1
450,78NIP9,3977340,2
451,78F5GL,3978052,116
452,78AIDD,3978167,137
453,78FM72,3979620,3
454,78B4CB,3980110,119
455,78A9K6,3980730,224
456,78HD0K,3981274,30
457,78FHGK,3982542,3
458,78P8R2,3983314,79
459,78QJBP,3990952,46
460,794TNS,3990972,76
461,78FQIH,3993408,46
462,78F1DK,3994444,68
463,78QMCC,3994570,17
464,790MNK,3996627,11
465,78IIFP,3996797,22
466,78LTNM,3998260,6
467,7914RK,3998369,32
468,78BRGO,4001591,10
469,796HG0,4001814,31
470,78TPQ0,4002911,2
471,7980OT,4003009,10
472,78Q51T,4003050,39
473,79BA9I,4003548,3
474,78MJ3Q,4004192,57
475,78SL07,4004354,75
476,799OBB,4005819,5
477,78TOR6,4007229,64
478,7990H3,4008445,11
479,78S7GS,4009983,10
480,79BCBM,4010896,11
481,78TSBB,4011552,65
482,78MI7H,4012859,354
483,78R5BE,4012943,1
484,799KN4,4013798,35
485,7936G6,4013916,49
486,78CEOA,4016310,114
487,792DRG,4018319,7
488,798DKR,4019797,2
489,78BS0A,4019859,34
490,78Q68B,4020072,53
491,78ERC2,4020164,8
492,7902DR,4020783,79
493,78RJEK,4021044,61
494,78QKD0,4021572,121
495,799TJ5,4021599,1
496,78COK7,4024081,625
497,78PBTT,4024783,7
498,78I2FJ,4027388,3
499,78T40J,4027413,195
500,790NF3,4027867,11
501,78Q190,4027935,1
502,78B4CB,4027965,60
503,78QM3N,4028017,96
504,78F5GL,4028165,308
505,78L6RG,4029348,9
506,78GFM6,4029834,57
507,78KP8D,4030144,11
508,7957CM,4032416,9
509,78P6TO,4033763,6
510,78JFT3,4033894,6
511,78KK4P,4034260,54
512,78NNQJ,4034589,165
513,78FOT8,4035165,5
514,78M1HL,4035212,25
515,78B3SO,4035227,159
516,798TCJ,4035678,46
517,78MJ2S,4038070,44
518,78FE1I,4038846,11
519,78F9E8,4038984,28
520,78DAE8,4040151,5
521,78DATO,4040262,54
522,78PFTT,4040384,62
523,792LO8,4040626,1
524,78BJ7B,4040689,31
525,78BL6B,4040845,22
526,796ISN,4040853,26
527,78PHO8,4040978,9
528,78BQ9F,4041012,4
529,78D0MS,4041156,41
530,78K4MN,4041798,2
531,78KAN9,4042274,27
532,78A6Q9,4042294,62
533,78A7G3,4042323,1
534,78F3B0,4042700,6
535,78L1NA,4042710,140
536,78RL4D,4042951,2
537,78C2SA,4042972,36
538,795G98,4043117,1
539,78SOJL,4045394,17
540,78M5ME,4045906,61
541,78N6S1,4045997,11
542,78RCA9,4048554,18
543,792E2L,4049877,11
544,798ODB,4050117,3
545,78G7HH,4051325,85
546,796R4N,4051643,15
547,79697F,4052539,3
548,78DL7P,4052610,162
549,78QOQA,4059098,22
550,7977BG,4059114,10
551,78FKL1,4059435,137
552,793DMR,4059677,3
553,78AF64,4060738,3
554,78A786,4060767,42
555,7964BH,4066872,1
556,78EAKB,4067968,20
557,78QNM5,4068080,19
558,78BO52,4076078,22
559,78BMTA,4082745,57
560,78LCCN,4084600,4
561,792JGE,4084643,45
562,7928CL,4086354,12
563,78S069,4089046,1
564,78H901,4089258,7
565,78RQ8O,4092353,70
566,7959N4,4092419,38
567,796069,4093126,11
568,7989PQ,4093745,19
569,7905MA,4093764,2
570,78T2FA,4094845,2
571,78G7AC,4095262,25
572,78F3ID,4095784,10
573,78D0H5,4095791,9
574,78P7TJ,4095840,24
575,78DD6D,4097624,1
576,78J05O,4102596,9
577,7954J2,4102924,4
578,7903JR,4103653,18
579,78E9Q5,4103680,4
580,78MTTC,4104491,49
581,78M74S,4105624,1
582,78RHQA,4110740,74
583,78BPMO,4111955,160
584,78DMOM,4112114,59
585,78BBEB,4112660,26
586,78QCFR,4112664,17
587,798TRF,4112672,100
588,78EEIJ,4112901,1
589,78BFER,4113024,12
590,78CO81,4113440,8
591,78D0JL,4113664,3
592,78SJMR,4120139,21
593,799836,4120344,2
594,78KAN9,4121365,133
595,792CT6,4121747,93
596,78KLFM,4121855,8
597,7901KS,4122033,73
598,78J2Q3,4122673,65
599,78J9JA,4122774,2
600,7915OT,4124475,49
601,790JP8,4126409,155
602,78NO40,4126536,40
