,Unnamed: 0,driver_id,day_of_week,total_days,Hour,Minute,passenger_id,total_requests,total_assigned,avg_rating,completed_rides,ACR,status,ride_duration_hour,total_distance_covered_km,avg_fare,abandoned_trips,% completed_rides,canceled_rides,driver_id,total_monthly_trips
57,2766,3040004,4,1,20,42,4827843,1,17,4.307563701,1,0.05882352900000001,1,0.427222222,0.107,45.0,16,100.0,0,3040004,6
58,2765,3045120,2,1,17,44,4865011,4,47,5.0,1,0.021276596,1,0.289166667,5.651,115.0,43,25.0,3,3045120,5
59,1962,3058127,1,3,22,17,4823360,7,14,3.0,5,0.35714285700000004,1,0.910833333,15.09,86.4,7,71.42857142857143,2,3058127,37
60,293,3060896,2,7,8,37,5151403,96,213,3.947368421,50,0.234741784,1,14.28388889,241.543,107.22,117,52.08333333333334,46,3060896,171
61,1961,3067864,2,3,13,30,4992889,6,25,4.666666667,4,0.16,1,1.3780555559999998,18.236,100.0,19,66.66666666666666,2,3067864,35
62,1960,3072522,3,3,12,34,5358213,11,55,5.0,3,0.054545455,1,0.855555556,12.492,98.66666667,44,27.27272727272727,8,3072522,12
63,1149,3075437,2,5,10,7,5191826,41,87,4.166666667,19,0.218390805,1,3.835277778,79.949,97.36842105,46,46.34146341463415,22,3075437,144
64,2764,3086743,2,1,16,54,3415566,4,8,5.0,3,0.375,1,0.5069444439999999,9.186,76.33333333,4,75.0,1,3086743,7
65,1553,3089358,2,4,18,26,4687943,15,40,4.666666667,6,0.15,1,1.467777778,31.934,110.0,25,40.0,9,3089358,29
66,292,3090872,3,7,13,7,3510245,117,371,4.384615385,50,0.134770889,1,13.84833333,269.915,114.66,254,42.735042735042725,67,3090872,198
67,2376,3096858,2,2,12,28,4347059,3,31,4.307563701,1,0.032258065,1,0.001111111,1.3430000000000002,50.0,28,33.33333333333333,2,3096858,35
68,1959,3109035,5,3,18,40,5158418,10,83,5.0,2,0.024096386,1,0.327777778,4.876,74.0,73,20.0,8,3109035,14
